Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-03-22,3288.52392578125,3297.454018450051,3221.037676335606,3234.3661080997535,2907611
2022-03-23,3298.697998046875,3314.15910942593,3278.79429290694,3294.7884114089247,1596195
2022-03-24,3331.975341796875,3339.394706650704,3283.2376141207724,3287.680425506592,1879046
2022-03-25,3294.299560546875,3358.320504138264,3262.800077046092,3340.904599959908,1690133
2022-03-28,3294.52197265625,3299.2313956274616,3253.203831019655,3283.2372762842633,1760990
2022-03-29,3292.43359375,3307.228065625652,3279.6826411134552,3283.01474891735,2689063
2022-03-30,3315.7138671875,3321.4450492066144,3293.18873172542,3321.4450492066144,1583455
2022-03-31,3323.17822265625,3336.24004386944,3305.6291188569076,3323.2226941539616,2168110
2022-04-01,3339.8828125,3343.6592014466246,3312.603999260616,3330.330769870303,1387014
2022-04-04,3350.1904296875,3358.7649677654217,3320.645737841415,3342.7708488713006,1472994
2022-04-05,3389.6865234375,3408.1686573100724,3351.6560246280724,3351.6560246280724,2314947
2022-04-06,3336.8623046875,3384.8001942913256,3315.358924868198,3384.8001942913256,2051729
2022-04-07,3273.595703125,3328.1090702238885,3269.0196954622043,3328.1090702238885,2494829
2022-04-08,3274.9287109375,3292.1224737888224,3236.5873443389437,3278.7940427208514,2296773
2022-04-11,3284.481201171875,3298.6539416877777,3248.672318365914,3278.794489914239,2291660
2022-04-12,3279.77197265625,3322.3340146067667,3241.7859391915695,3272.5745321735017,4483476
2022-04-13,3253.870361328125,3296.43262160667,3248.183649923165,3293.9001325191025,1621672
2022-04-18,3134.8916015625,3207.709223229319,3129.960038455755,3207.709223229319,3820792
2022-04-19,3084.998779296875,3166.4356288546082,3055.8983694740664,3154.3955685792644,3170014
2022-04-20,3160.43798828125,3171.4116009849918,3092.196369835976,3109.96761334078,2640370
2022-04-21,3224.28076171875,3237.9202766610933,3169.8563333582965,3181.052302537518,2280996
2022-04-22,3209.9755859375,3213.929644546312,3173.500062343697,3182.0303466809823,1581465
2022-04-25,3152.796630859375,3184.607203793021,3139.37947062442,3161.5045845690765,1960694
2022-04-26,3151.108154296875,3188.0722114341042,3126.094998356819,3176.743043452235,1943469
2022-04-27,3164.34716796875,3170.789242910435,3115.565197597769,3150.841068029554,1727648
2022-04-28,3184.873779296875,3202.7337507159955,3143.777774418422,3188.161416300322,1703660
2022-04-29,3151.463623046875,3219.4831052544378,3142.7114152271593,3196.158346677765,2051115
2022-05-02,3147.642333984375,3152.573897085291,3103.5253119643658,3127.6496864948044,1324161
2022-05-04,3091.97412109375,3150.352610577351,3079.1344414976566,3144.177147062356,2305825
2022-05-05,3121.874755859375,3139.290664035557,3096.9507564301393,3120.7197983953106,1612262
2022-05-06,3050.07861328125,3087.3092816962812,3042.881172879239,3073.536567962998,2010812
2022-05-09,3061.185791015625,3070.87103244035,2973.8845528972033,3019.3344236783305,2481830
2022-05-10,3055.54345703125,3078.6905471809036,3040.660039247092,3051.3227863163397,1622685
2022-05-11,3031.773681640625,3064.1617246242054,3005.2500179628346,3052.2106085684486,1841769
2022-05-12,3028.79736328125,3065.2728838583857,2976.772221615572,3001.5630194609157,2807195
2022-05-13,3034.35107421875,3056.5651299816745,3005.2506611693193,3052.2112618257966,2187823
2022-05-16,3000.49658203125,3047.7680429845973,2991.4332918791674,3034.4396113097378,1195813
2022-05-17,3066.9609375,3080.644706648595,2977.0382821780336,2994.4541855799725,1754076
2022-05-18,3064.472412109375,3105.5239296814416,3059.3631810376532,3078.8670719159354,1866781
2022-05-19,2898.4453125,3025.5541736674804,2870.055794697786,3018.4456763431513,4642963
2022-05-20,2926.035888671875,2944.606755458255,2905.643425637507,2941.1414489838767,3065125
2022-05-23,2951.5810546875,2966.8198074074676,2902.9322813770036,2936.519970994632,2293690
2022-05-24,2921.592041015625,2954.3356395628116,2910.573958291516,2945.7164140697164,1711510
2022-05-25,2833.61328125,2945.610802185031,2821.4475663720973,2945.610802185031,3548046
2022-05-26,2886.66015625,2899.6758667069867,2845.153237526035,2854.501215690882,2813186
2022-05-27,2917.3876953125,2933.131599681016,2888.6726342881934,2910.1417734778424,3103153
2022-05-30,3019.321533203125,3029.4747349681716,2939.7963456033503,2949.3231893846983,2094624
2022-05-31,3009.571044921875,3026.612000510551,2974.3705125505267,3000.446485475332,4840965
2022-06-01,3001.3857421875,3030.7269440021355,2987.833434858042,3030.7269440021355,1493835
2022-06-02,3062.03662109375,3070.0875499835674,2993.424859678505,3001.2073805929103,2657939
2022-06-03,3077.377685546875,3110.6102582693384,3069.371528604616,3094.5977259894203,1913622
2022-06-06,3069.147705078125,3088.8725211555457,3021.021005842092,3057.5633586184927,1084210
2022-06-07,3008.095458984375,3058.3244425730218,3002.1020331693508,3042.401450088687,2308256
2022-06-08,3045.174560546875,3053.941171959309,2993.6039713920522,3023.705415077456,2185707
2022-06-09,3065.704345703125,3074.5602801002638,2999.5078194513303,3028.043802193597,1279197
2022-06-10,3005.590576171875,3035.200190885872,2998.523737061433,3025.3601666890713,1527582
2022-06-13,2880.08544921875,2945.7451536237168,2855.7983516097243,2943.0615109086025,3030921
2022-06-14,2871.989990234375,2897.350284976145,2839.9203697482353,2853.6069924191734,2611493
2022-06-15,2868.18798828125,2892.966912903787,2863.4468423639523,2879.101425225986,1404536
2022-06-16,2810.668212890625,2902.6725095727124,2802.6620565361654,2898.3338668891233,2032028
2022-06-17,2763.16796875,2789.870301721433,2704.9778226240087,2765.9411536425396,5240434
2022-06-20,2784.18994140625,2807.761358689215,2745.3666618294546,2767.730352460193,1502769
2022-06-21,2873.241943359375,2896.321313698456,2795.8188096638946,2799.9338157288753,2964461
2022-06-22,2883.08203125,2907.7716314048353,2847.344899703459,2862.462666195436,3336315
2022-06-23,2959.87890625,2968.108699833873,2883.0819135631095,2883.0819135631095,3692578
2022-06-24,2945.8349609375,2992.2618967303943,2931.879930204445,2986.8946108169766,2132118
2022-06-27,2965.15673828125,3008.2738867735548,2957.821492005862,2996.734310666759,2037686
2022-06-28,2968.242431640625,2978.842905916221,2927.4959714126285,2958.2683152747577,1400046
2022-06-29,2943.50927734375,2981.527555504245,2926.0655967759935,2926.0655967759935,2133994
2022-06-30,2922.576171875,2961.7571769517335,2911.7520599621494,2926.959367187758,2719603
2022-07-01,2965.51513671875,2981.5274530236807,2909.113861142531,2916.22547160432,1502879
2022-07-04,2893.906005859375,2968.0639081040827,2884.960530635869,2962.741394025175,2622535
2022-07-05,2877.13330078125,2926.9595551529096,2868.7691939118813,2911.752246950709,2170627
2022-07-06,2916.895751953125,2923.8284950575144,2864.564723358704,2879.101120190488,2182144
2022-07-07,2941.138427734375,2969.361229929666,2920.742698680176,2926.0652132459163,1989921
2022-07-08,2921.100341796875,2956.47974214826,2907.279625410543,2952.0070042630127,2136916
2022-07-11,2785.4423828125,2884.9160330481313,2778.4648677976734,2868.0537232952515,6974600
2022-07-12,2759.41064453125,2805.4798410310173,2755.429951813746,2786.4259354986384,3734815
2022-07-13,2718.306396484375,2782.04291010001,2714.9518431361835,2776.675624742904,3863530
